sample_ID,TA,Mass,Sample.Index
20260228_kb_p9_t2,1964.933984,60.1122,13
20260228_kb_p10_t2,2098.409466,60.0869,14
20260228_kb_p11_t2,2045.169659,60.05,15
20260228_kb_p12_t2,1742.296692,60.0908,16
20260228_kb_p13_t2,2071.778619,60.1633,17
20260228_kb_p14_t2,2041.94149,60.1652,18
20260228_kb_p15_t2,1979.099227,60.1775,19
20260228_kb_p8_t3,1960.637572,60.1173,20
20260228_kb_p9_t3,1979.688166,60.1391,21
20260228_kb_p10_t3,2111.969371,60.0689,22
20260228_kb_p11_t3,2081.533824,60.2424,23
20260228_kb_p12_t3,1834.407494,60.1434,24
20260228_kb_p13_t3,2104.084894,60.2332,25
20260228_kb_p14_t3,2079.15187,60.2716,26
20260228_kb_p15_t3,2014.614669,60.2195,27
junk1,2311.554339,60.3688,1
junk2,2305.173004,60.0888,2
junk3,2294.883753,60.2903,3
20260502_sb_p16_t1,2504.351613,60.3313,4
20260502_sb_p17_t1,2884.506543,60.2848,5
20260502_sb_p18_t1,2812.855805,60.2526,6
20260502_sb_p19_t1,2716.513964,60.1161,7
20260502_sb_p20_t1,2725.172629,60.0313,8
20260502_sb_p21_t1,2772.811247,60.3185,9
20260502_sb_p22_t1,2722.572105,60.1107,10
20260502_sb_ocn_t1,2306.862305,60.1517,11
20260502_sb_p16_t2,2441.447914,60.2413,12
20260502_sb_p17_t2,2886.318797,60.1635,13
20260502_sb_p18_t2,2811.674557,60.0252,14
20260502_sb_p19_t2,2680.499344,60.0067,15
20260502_sb_p20_t2,2747.021812,60.1396,16
20260502_sb_p21_t2,2787.570544,60.0959,17
20260502_sb_p22_t2,2734.363703,60.1624,18
20260502_sb_ocn_t2,2299.481955,60.288,19
20260502_sb_p16_t3,2252.095512,60.0284,20
20260502_sb_p17_t3,2788.568004,60.1007,21
20260502_sb_p18_t3,2724.412809,60.2035,22
20260502_sb_p19_t3,2603.365026,60.0094,23
20260502_sb_p20_t3,2703.678951,60.1863,24
20260502_sb_p21_t3,2772.947332,60.3814,25
20260502_sb_p22_t3,2693.697687,60.2426,26
20260502_sb_ocn_t3,2298.874355,60.0498,27
junk1,2321.650385,60.0487,1
junk2,2307.424394,60.1228,2
junk3,2309.890272,60.2852,3
20260502_sb_p23_t1,2613.623995,60.2314,4
20260502_sb_p24_t1,2397.963005,60.0199,5
20260502_sb_p25_t1,2656.895836,60.2338,6
20260502_sb_p26_t1,2739.827032,60.2768,7
20260502_sb_p28_t1,2436.869674,60.2599,8
20260502_sb_p29_t1,2705.140187,60.1292,9
20260502_sb_p32_t1,2660.196402,60.1554,10
20260502_sb_p23_t2,2604.757448,60.3899,11
20260502_sb_p24_t2,2312.814885,60.2194,12
20260502_sb_p25_t2,2658.345625,60.0625,13
20260502_sb_p26_t2,2731.985142,60.1433,14
20260502_sb_p28_t2,2412.223839,60.072,15
20260502_sb_p29_t2,2698.913656,60.2635,16
20260502_sb_p32_t2,2676.097563,60.1239,17
20260502_sb_p23_t3,2585.691847,60.0113,18
20260502_sb_p24_t3,2168.792718,60.1554,19
20260502_sb_p25_t3,2638.857561,60.0348,20
20260502_sb_p26_t3,2677.920082,60.3972,21
20260502_sb_p28_t3,2263.212052,60.3293,22
20260502_sb_p29_t3,2665.61354,60.399,23
20260502_sb_p32_t3,2671.511136,60.13,24
